city,state,2021_rank,2021_us_news_overall_score,2021_quality_of_life,2021_value,2019_rank,2019_us_news_overall_score,2019_us_news_state_overall_rank,2019_data_scientist_job_postings,city_state,state_name,average_salary_state,hourly_rate_state,job_count_state,average_salary_city,hourly_rate_city,population,population2010,race_white,race_black,race_ameri_es,race_asian,race_hawaiian_pi,race_hispanic,race_other,race_multi,males,females,age_under_5,age_5to9,age_10to14,age_15to19,age_20to24,age_25to34,age_35to44,age_45to54,age_55to64,age_65to74,age_75to84,age_over_85,median_age,household_count,average_household_size,families_count,average_family_size,house_units_count,vacant_house_count,owner_occupied_house,renter_occupied_house,population_growth
Boulder,CO,1,7.6,8.2,6.0,0,0.0,0,0,Boulder-CO,Colorado,82112,39.48,877,81990,39.42,108649,97385,85702,876,431,4605,74,8507,3139,2558,50004,47381,3955,3867,3552,10681,19814,15569,11420,10505,9318,4475,2659,1570,28.8,41302,2.16,16694,2.84,43479,2177,19695,21607,11264
Raleigh,NC,2,7.5,6.9,7.7,0,0.0,0,0,Raleigh-NC,North Carolina,83303,40.05,1788,83965,40.37,457182,403892,232377,118471,1963,17434,173,45868,22942,10532,195143,208749,29027,26366,23957,29151,40864,74420,61216,50034,35719,17687,10497,4954,31.9,162999,2.36,91186,3.06,176124,13125,87284,75715,53290
Huntsville,AL,3,7.4,7.0,8.7,108,7.1,49,7,Huntsville-AL,Alabama,77743,37.38,390,77743,37.38,197899,180105,108618,56229,1087,4349,232,10512,5166,4424,87530,92575,11171,10221,10568,12923,16304,25693,21434,26171,20093,13622,8709,3196,36.5,77033,2.25,45416,2.91,84949,7916,44672,32361,17794
Fayetteville,AR,4,7.3,7.2,8.1,21,7.3,45,5,Fayetteville-AR,Arkansas,82909,39.86,266,82909,39.86,85264,73580,61661,4379,785,2267,172,4725,2054,2262,36993,36587,4386,3873,3410,7203,14020,13686,8131,7240,5879,2854,1958,940,27.4,30726,2.17,14574,2.92,36188,5462,12639,18087,11684
Austin,TX,5,7.3,7.0,6.5,2,7.6,38,36,Austin-TX,Texas,87577,42.1,2563,88720,42.65,935806,790390,539760,64406,6901,49864,529,277707,102204,26726,399738,390652,57982,50407,42685,51525,87378,163686,116732,95336,68964,30964,17124,7607,31.1,324892,2.37,168582,3.16,354241,29349,146666,178226,145416
Colorado Springs,CO,6,7.3,6.7,6.4,7,7.4,10,6,Colorado Springs-CO,Colorado,82112,39.48,877,81990,39.42,459681,416427,328326,26253,4025,12601,1290,66866,22819,21113,203944,212483,29710,28938,28344,28815,32056,60918,54094,61980,46259,24601,14653,6059,34.9,167788,2.44,106744,3.04,179607,11819,100856,66932,43254
Naples,FL,7,7.2,7.7,4.7,0,0.0,0,0,Naples-FL,Florida,76936,36.99,1801,76936,36.99,21421,19537,18235,812,27,120,3,881,137,203,9019,10518,416,607,607,579,339,736,1208,2108,3463,4467,3498,1509,64.3,10231,1.88,5967,2.39,17753,7522,8012,2219,1884
Portland,ME,8,7.2,7.4,6.6,105,7.0,32,0,Portland-ME,Maine,78384,37.68,196,78384,37.68,68873,66194,56275,4684,312,2305,28,1998,802,1788,32306,33888,3558,3031,2929,3327,6042,12681,9187,9470,7632,3873,2812,1652,36.6,30725,2.07,13324,2.88,33836,3111,13124,17601,2679
Sarasota,FL,9,7.2,7.3,5.5,39,7.0,13,1,Sarasota-FL,Florida,76936,36.99,1801,76936,36.99,55611,51917,39152,7844,221,691,22,8634,2771,1216,25225,26692,2679,2354,2272,3074,3888,6086,5890,7129,6895,5394,3954,2302,44.5,23142,2.09,11577,2.8,29151,6009,13111,10031,3694
Portland,OR,10,7.2,6.8,6.0,11,7.2,27,17,Portland-OR,Oregon,101355,48.73,596,101355,48.73,637683,583776,444216,36695,5991,41692,3109,54840,24793,27280,289211,294565,35187,31384,28149,30787,42929,114369,93065,77823,69294,31782,18776,10231,35.9,248546,2.28,125506,2.99,265439,16893,133502,115044,53907
Boise City,ID,11,7.2,7.3,7.1,10,7.1,16,1,Boise City-ID,Idaho,88982,42.78,249,88982,42.78,225405,205671,182991,3043,1404,6501,457,14606,5139,6136,101690,103981,13155,12933,12750,13959,16966,32135,27048,29595,24177,12176,7087,3690,35.3,85704,2.36,50647,2.97,92700,6996,52345,33359,19734
Ann Arbor,MI,12,7.2,8.4,7.0,0,0.0,0,0,Ann Arbor-MI,Michigan,86008,41.35,872,86286,41.48,121651,113934,83171,8804,301,16353,38,4666,1172,4095,56155,57779,4868,4531,4284,13146,23091,20278,11354,11319,10451,5456,3539,1617,27.9,47060,2.17,20502,2.85,49789,2729,21078,25982,7717
Des Moines,IA,13,7.2,6.7,8.3,9,7.3,14,4,Des Moines-IA,Iowa,78285,37.64,427,78285,37.64,223803,203433,155469,20842,1008,8990,149,24334,10158,6817,99535,103898,16152,13900,12927,13557,16121,33179,26456,27285,21538,11318,7399,3601,33.7,81369,2.43,47491,3.11,88729,7360,51079,30290,20370
Denver,CO,14,7.1,6.7,6.4,6,7.4,10,42,Denver-CO,Colorado,82112,39.48,877,81990,39.42,699521,600158,413696,61435,8237,20433,607,190965,71191,24559,300089,300069,43515,37371,30365,32275,47688,122830,89763,72476,61743,32153,20359,9620,33.8,263107,2.22,125004,3.15,285797,22690,131529,131578,99363
San Francisco,CA,15,7.1,6.8,5.1,23,7.3,19,190,San Francisco-CA,California,126682,60.9,3874,138170,66.43,871042,805235,390387,48870,4024,267915,3359,121774,53021,37659,408462,396773,35203,28462,26299,34606,60618,168120,133682,111807,96596,54322,38029,17491,38.5,345811,2.26,151029,3.11,376942,31131,123646,222165,65807
Madison,WI,16,7.1,7.6,7.0,13,7.1,11,8,Madison-WI,Wisconsin,82510,39.67,679,81874,39.36,250805,233209,184030,16926,1001,17211,81,15948,6719,7241,114832,118377,13561,11341,9957,16508,34919,45633,27731,26926,24250,11338,7248,3797,31.1,102516,2.17,47824,2.87,108843,6327,50555,51961,17596
Fort Collins,CO,17,7.1,7.4,6.0,0,0.0,0,0,Fort Collins-CO,Colorado,82112,39.48,877,81990,39.42,163076,143986,128211,1740,933,4222,128,14572,4339,4413,71909,72077,8251,8097,7645,13073,22429,24295,17390,16842,13324,6444,4013,2183,29.6,57829,2.37,31148,2.97,60503,2674,31864,25965,19090
Melbourne,FL,18,7.1,7.5,6.2,14,6.9,13,3,Melbourne-FL,Florida,76936,36.99,1801,76936,36.99,81250,76068,61562,7836,245,2370,71,6794,1588,2396,36921,39147,3905,3648,3848,4762,5593,9386,8476,11793,9476,7168,5526,2487,43.2,34040,2.17,18926,2.81,38955,4915,20315,13725,5182
Seattle,WA,19,7.1,6.5,5.8,1,7.2,1,141,Seattle-WA,Washington,119916,57.65,1222,122139,58.72,687870,608660,422870,48316,4809,84215,2351,40329,14852,31247,304030,304630,32036,25943,22091,30585,54885,126616,99704,80543,70762,33069,20059,12367,36.2,283510,2.06,121690,2.87,308516,25006,136362,147148,79210
Charlotte,NC,20,7.1,6.0,7.5,17,7.0,18,13,Charlotte-NC,North Carolina,83303,40.05,1788,83965,40.37,838742,731424,365384,256241,3483,36403,581,95688,49928,19404,353511,377913,55494,51977,48427,48830,54121,128486,114714,98121,69238,34568,19224,8224,33.3,289860,2.48,175436,3.14,319918,30058,166367,123493,107318
Green Bay,WI,21,7.1,7.3,8.2,0,0.0,0,0,Green Bay-WI,Wisconsin,82510,39.67,679,81874,39.36,107887,104057,81075,3691,4241,4210,63,13896,7543,3234,51359,52698,8054,7063,6621,7305,8840,15914,12957,14487,11039,5782,4092,1903,33.8,42244,2.39,24699,3.06,45241,2997,23770,18474,3830
Jacksonville,FL,22,7.0,6.8,6.3,30,6.7,13,3,Jacksonville-FL,Florida,76936,36.99,1801,76936,36.99,886969,821784,488473,252421,3270,35222,765,63485,17995,23638,398294,423490,57533,53508,53057,55945,62704,122314,111486,121534,93763,50082,28108,11750,35.5,323106,2.48,207760,3.05,366273,43167,199378,123728,65185
Salt Lake City,UT,23,7.0,7.1,7.3,3,6.9,4,18,Salt Lake City-UT,Utah,84087,40.43,510,84087,40.43,201705,186440,140080,5088,2316,8247,3776,41637,20036,6897,95627,90813,14483,11676,10096,11859,20007,38895,24034,20793,17081,8702,5813,3001,31.0,74513,2.44,39093,3.25,80724,6211,36073,38440,15265
