city,state,2021_rank,2021_us_news_overall_score,2021_quality_of_life,2021_value,2019_rank,2019_us_news_overall_score,2019_us_news_state_overall_rank,2019_data_scientist_job_postings
Boulder,CO,1,7.6,8.2,6,0,0,0,0
Raleigh,NC,2,7.5,6.9,7.7,0,0,0,0
Huntsville,AL,3,7.4,7,8.7,108,7.1,49,7
Fayetteville,AR,4,7.3,7.2,8.1,21,7.3,45,5
Austin,TX,5,7.3,7,6.5,2,7.6,38,36
Colorado Springs,CO,6,7.3,6.7,6.4,7,7.4,10,6
Naples,FL,7,7.2,7.7,4.7,0,0,0,0
Portland,ME,8,7.2,7.4,6.6,105,7,32,0
Sarasota,FL,9,7.2,7.3,5.5,39,7,13,1
Portland,OR,10,7.2,6.8,6,11,7.2,27,17
Boise City,ID,11,7.2,7.3,7.1,10,7.1,16,1
Ann Arbor,MI,12,7.2,8.4,7,0,0,0,0
Des Moines,IA,13,7.2,6.7,8.3,9,7.3,14,4
Denver,CO,14,7.1,6.7,6.4,6,7.4,10,42
San Francisco,CA,15,7.1,6.8,5.1,23,7.3,19,190
Madison,WI,16,7.1,7.6,7,13,7.1,11,8
Fort Collins,CO,17,7.1,7.4,6,0,0,0,0
Melbourne,FL,18,7.1,7.5,6.2,14,6.9,13,3
Seattle,WA,19,7.1,6.5,5.8,1,7.2,1,141
Charlotte,NC,20,7.1,6,7.5,17,7,18,13
Green Bay,WI,21,7.1,7.3,8.2,0,0,0,0
Jacksonville,FL,22,7,6.8,6.3,30,6.7,13,3
Salt Lake City,UT,23,7,7.1,7.3,3,6.9,4,18
Spartanburg,SC,24,7,6.5,7.8,0,0,0,0
Omaha,NE,25,7,6.8,7.9,26,6.8,9,3
Pensacola,FL,26,7,6.6,6.6,48,6.7,13,0
Minneapolis,MN,27,7,6.8,7.6,0,0,0,0
Washington,DC,28,6.9,6.8,6.5,82,7,0,582
Lincoln,NE,29,6.9,6.9,7.6,0,0,0,0
Nashville,TN,30,6.9,6,7.2,33,7.1,30,11
Boston,MA,31,6.9,7.1,5.7,8,6.9,8,141
Tampa,FL,32,6.9,7.1,5.7,18,6.6,13,15
Lexington,KY,33,6.9,6.9,7.8,61,6.9,40,1
Grand Rapids,MI,34,6.9,7.4,8.2,49,7.1,33,0
Myrtle Beach,SC,35,6.9,6,6,97,6.4,42,0
San Jose,CA,36,6.9,7.6,5.4,46,7.1,19,200
Dallas,TX,37,6.9,6.4,6.8,27,7,38,42
Greenville,SC,38,6.9,6.3,7.9,75,7,42,1
Houston,TX,39,6.9,6.3,7.9,76,6.8,38,23
Phoenix,AZ,40,6.8,6.1,6.6,37,6.9,34,15
Knoxville,TN,41,6.8,6,7.6,71,6.7,30,6
Charleston,SC,42,6.8,6,6.2,112,6.7,42,0
Fort Myers,FL,43,6.8,6.8,5.2,58,6.8,13,1
Cincinnati,OH,44,6.7,6.6,8,72,6.7,39,16
Albany,NY,45,6.7,6.8,7.3,22,6.9,25,1
Winston-Salem,NC,46,6.7,6.7,7.6,34,6.8,18,1
Port St. Lucie,FL,47,6.7,6.5,5.1,42,6.4,13,0
Asheville,NC,48,6.7,7,6.4,28,7.1,18,0
Chattanooga,TN,49,6.7,5.8,7.5,53,6.6,30,1
Richmond,VA,50,6.7,6.1,7,19,6.7,7,8
Kalamazoo,MI,51,6.7,7,7.9,0,0,0,0
Hickory,NC,52,6.7,6.5,8.3,0,0,0,0
Hartford,CT,53,6.7,7.4,6.4,77,6.7,21,16
Columbia,SC,54,6.7,5.9,7.3,88,6.5,42,0
Atlanta,GA,55,6.7,5.9,6.9,15,6.6,17,46
Reno,NV,56,6.7,7.3,6.3,65,6.8,37,2
Kansas City,MO,57,6.7,6,7.7,16,6.7,28,9
Ocala,FL,58,6.7,6.6,6,0,0,0,0
Columbus,OH,59,6.7,6.3,7.5,59,6.7,39,30
Orlando,FL,60,6.7,7,5.2,25,6.5,13,3
Harrisburg,PA,61,6.7,6.9,7.4,68,6.7,41,0
Salem,OR,62,6.6,6.7,6,95,6.4,27,0
Syracuse,NY,63,6.6,7.1,7.7,35,6.7,25,2
Lansing,MI,64,6.6,6.8,7.5,66,6.7,33,0
Eugene,OR,65,6.6,6.9,4.7,0,0,0,0
Indianapolis,IN,66,6.6,5.8,8.1,73,6.7,36,6
Manchester,NH,67,6.6,7.1,6.3,20,6.7,2,4
Oklahoma City,OK,68,6.6,6.1,7.4,87,6.5,43,4
Daytona Beach,FL,69,6.6,6.6,4.8,74,6.1,13,0
Buffalo,NY,70,6.6,6.8,7.8,31,6.7,25,3
Pittsburgh,PA,71,6.6,6.4,8.1,56,6.7,41,20
Rochester,NY,72,6.6,7.3,7.1,40,6.6,25,2
Fort Wayne,IN,73,6.6,6,8.6,44,6.7,36,0
Lancaster,PA,74,6.6,7.2,6.7,67,6.7,41,8
San Antonio,TX,75,6.6,6.2,6.5,36,6.8,38,21
Tallahassee,FL,76,6.6,5.8,7.8,0,0,0,0
Louisville,KY,77,6.6,5.8,7.8,100,6.5,40,9
Spokane,WA,78,6.5,6.5,6.4,4,6.5,1,0
Springfield,MO,79,6.5,6,7.2,84,6.3,28,0
Lakeland,FL,80,6.5,6.4,6,29,6.6,13,1
Tucson,AZ,81,6.5,6.5,6.4,0,0,0,0
Augusta,GA,82,6.5,6.2,6.9,52,6.5,17,3
Worcester,MA,83,6.5,7.1,6.5,45,6.5,8,8
Savannah,GA,84,6.5,6.2,6.2,0,0,0,0
Dayton,OH,85,6.5,6.3,7.7,91,6.5,39,5
Davenport,IA,86,6.5,6.4,8.4,0,0,0,0
Peoria,IL,87,6.5,6.7,8.1,0,0,0,0
South Bend,IN,88,6.5,6.2,8.2,0,0,0,0
Tulsa,OK,89,6.5,5.7,7.6,80,6.3,43,1
Anchorage,AK,90,6.5,6.7,6.6,111,6.5,44,0
Birmingham,AL,91,6.5,6.1,7.4,102,6.3,49,4
Milwaukee,WI,92,6.5,6.4,6.9,64,6.5,11,3
Little Rock,AR,93,6.4,6,7.6,85,6.3,45,1
